"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","21300","35800","40200","45900","55500","65000","65000","61700","58000","58000","67300","68200","70800","74000","77700","77700","69300","70100","68200","62070","72001","63361","67163","25700","26985","26175","27746","28356","26371","39865","36533.603996772","33606.0392244309","52572","46404","40046.652","40927.678",
"Australia","AUS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","283300","288000","283800","256500","18700","18700","29300","246600","259100","259000","257700","230800","222700","230500","214200","238600","266600","283300","294400","230300","255900","283600","324600","347700","405600","396100","371200","394500","378200","384800","382514","388734","536867","529648","324939","342509","352909","353546","393363","403256","572906","593145.002471011","622917","641451","664970","668961","676526",
"Austria","AUT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14900","16500","18400","20900","20000","21000","23100","24000","25800","26100","27200","27800","36400","37700","38000","37800","37700","38700","40100","39900","42000","47400","63600","73000","87700","109000","118100","121300","127900","127200","138700","133561","135516","128449","137049","141968","149512","151070","150738","138942","176195","166729.997287091","162715.735981131","166251","162576","152056.52","149029.918",
"Azerbaijan","AZE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22200","22200","19600","19500","17200","10100","8500","8012","7922","8175","9195","11090","12470","12777","13039","12008","10264","9885","15082","16597","15886","21910","23781","24009",
"Burundi","BDI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","300","300","400","400","500","500","500","500","600","600","400","900","900","900","900","900","900","900","900","1000","1000","1400","1400","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","40800","40700","41000","40400","37300","36100","39900","42800","46000","48000","47800","43000","40400","39100","40400","43200","45300","45900","51200","59700","66500","70000","77100","109100","118700","141200","164700","182700","213000","233300","225906","178331","133682","132779","154218","151939","158016","173818","179019","249997","127677.532209862","131577","132099.342541943","130230","132976.52964928","141116.19715942","147807.2",
"Benin","BEN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1400","1300","1000","1100","1000","1100","1200","1100","1100","1200","1100","1600","2000","2000","2000","2100","2700","2600","2600","1100","500","1200","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","1255.45454545455","1381","1381","1728","648","1208.52","9.668",
"Burkina Faso","BFA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1600","1500","1200","1300","1300","1400","1600","1500","1600","1600","2300","2200","2300","2300","2300","2400","3600","2700","2800","2800","2200","2900","2800","3000","3000","3100","3300","1800","1800","3300","3368","1983","1257","1285","1415","1471","1512","1614","1413","1433","4235","3983.15025906736","3856.22456300177","3780","3672","3874.896","3860.792",
"Bangladesh","BGD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","13500","13000","14200","13400","13000","13700","14800","13500","13400","13700","14300","11800","13600","15000","15400","13100","14600","13000","13800","14600","15600","13000","12600","13100","12800","11900","5900","6313","6486","6464","7165","7403","7399","7971","11139","11308","16399","19299.8261758691","26535","26996.2544120399","59064","65364","55865.1390419215","59728.098",
"Bulgaria","BGR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","17900","17800","18400","19000","19800","20100","22000","22200","22800","26600","27000","27000","34500","38000","39100","37000","38700","40000","39800","35900","37200","15300","16500","17300","16900","14700","13600","12700","14600","15200","12158","6687","2252","4577","7848","9691","12471","12221","15974","11237","11321","12297","11826","11736","11755","11768","12187.0228571429",
"Bahrain","BHR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","8300","7700","8300","8800","4700","5400","6200","6300","7200","8300","9500","10000","8700","9500","10100","10500","9600","8800","9400","10000","10900","10000","12900","14700","15200","13400","15400","14400","12300","20900","21303","20492","19752","28508","32488","","","","","69808","62473","60778.7162603187","63711.9791706662","52452","55980","57444","58468",
"Bahamas, The","BHS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","15900","16000","16500","17200","29900","32000","8200","9200","9100","8400","18100","18000","18300","19500","20200","18900","18900","16700","17700","17700","19300","20100","9100","9300","31100","31416","29395","26493","24455","29817","33211","33723","34402","33433","30267","26395","28393","30640","34188","53366","48535.184","49095.735",
"Bosnia and Herzegovina","BIH","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","4300","4768","4530","4394","4570","","","","","1004","1359","1573.54975701333","1060.06567164179","750.069402985075","552","420","81","",
"Belarus","BLR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35300","35300","35300","31800","5600","5700","6100","5772","5891","5545","6047","6211","5407","5646","6210","6371","5868","12101","14378","14608","17820","21168","22939","26857",
"Belize","BLZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19855","31755","59089","71401","112760","120072.361","121580.46",
"Bermuda","BMU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","11800","11500","11900","11500","11400","14600","13800","14800","16400","17800","18500","16700","15000","15500","14900","15400","17400","15300","15900","16100","15600","15100","14000","12600","15300","16600","31700","34700","32000","24000","21566","20007","20560","28901","25764","25644","21978","24089","21088","19011","37019","40751.4507216495","41974.6792042443","33467","51017.0018723656","42680.7712893924","45722.074",
"Brazil","BRA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","137700","149300","156700","173200","204800","209100","206100","194900","193000","211100","232500","236900","240200","259900","337100","335100","367900","386200","401900","398700","415900","457700","405500","400100","408300","453500","483600","568600","609900","692600","628081","654106","627878","486777","486025","514700","560838","649738","647753","752225","841793","970561","1002565","952307","937437","944557","826943",
"Barbados","BRB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","100","200","400","300","400","500","600","600","600","300","400","300","300","300","500","1400","1100","700","700","700","700","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","3500","3700","3600","3400","3500","3600","4400","4400","5100","6700","9600","11800","12200","13600","13600","16200.0009765625","12739","12237","11953","11812","13322","11808","12381","12128","13071","12274","12333","11672","10374","10920","10392","11624","11058",
"Bhutan","BTN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","600","600","600","600","600","600","900","900","1000","1000","1100","1138","1297","1948","1890","2306","2467","2566","2720","2772","2706","3053.39992695398","4146.03177501826","3553","5820","8772","4640.388","6064.987",
"Botswana","BWA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","1600","2700","2600","2600","2600","2800","3500","3300","4300","4600","4900","5800","6700","6300","3800","3600","4000","4200","4900","5400","5900","6703","7138","7304","7214","7885","8181","6905","7366","6105","6142","7681","7910.25856004678","8422.23447986064","9396","8304","7741","7933",
"Central African Republic","CAF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3600","3600","3300","3400","3400","3700","3900","3800","4100","4200","4300","4000","4200","4100","4200","4300","4300","4300","4400","4400","3800","4500","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","","","","","","","",
"Canada","CAN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","305200","292500","291400","348900","371900","363800","352900","348000","349200","357700","382000","383600","344000","325300","343600","351900","343000","333800","380900","370200","346800","257800","258700","243700","253500","282800","305800","310800","317800","319600","963468","982013","263906","1036092","988755","1018480","1042100","1188947","1200361","1198381","1234528.61925597","1245743.61579713","1280198.18557714","1263297.33686341","1290419","1322033","1359442.71654139",
"Central Europe and the Baltics","CEB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","72700","88900","100300","105300","110900","120200","140700","143100","142900","150900","142600","119000","103300","118200","127900","127300","133300","133000","130000","133200","129000","93800","116900","143800","151200","158500","167200","183500","188200","205200","220821","237439","235443","268637","314685","347743","363872","397337","415443","405656","459987.605461649","458432.212389811","409115.831651127","407489","414473.868","437994.064","450006.279857143",
"Switzerland","CHE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","84600","86500","83100","85700","87700","89500","89300","90500","93600","95300","97700","95900","109200","111400","111600","115800","122200","122700","132000","145900","152100","150800","157600","168900","174900","191200","218200","220800","250300","276300","289031","284899","242800","189121","144703","134839","125126","139124","158788","168280","224807","244994","257233.254295533","266128","263267","250094","229529.697",
"Channel Islands","CHI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","24900","27000","24800","21200","21500","16600","14300","14800","14100","12500","13700","18300","20700","19200","20100","25300","26300","29000","35300","36000","40100","36600","48200","58600","68800","77800","93700","109300","119100","92500","87945","82942","78187","82789","86140","93003","94770","101008","108565","97473","108840","123739","125120","127631","124480","116532","116238",
"China","CHN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","21200","26600","27700","28800","34000","63000","51000","57300","69800","74000","92500","102200","127900","159700","176900","159200","196000","190300","200300","261600","325900","397600","493000","470200","510500","547800","572921","840911","932064","946354","1209900","1349269","1542564","1753550","1853088","2140124","2377789","2538667","2779741","3073450","3356756","3616026","3952098",
"Cote d'Ivoire","CIV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4300","3900","3800","4000","4000","4600","4900","4900","5100","5200","5600","10300","10400","10400","10700","6100","6100","6700","7100","5600","5400","4900","5000","4600","4300","4400","4600","3500","3500","6300","2342","716","","","","","","","","","5604","907","415","3912","4032","6108.883","7532.252",
"Cameroon","CMR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3800","2800","2300","4000","0","3700","0","7200","6500","10000","8300","8400","8500","8200","8100","8200","6100","6200","6200","9700","7100","7000","4100","4100","4200","3800","3800","6500","6600","5400","5580","10103","4720","9524","10337","10696","10925","11650","9471","9501","0","3036","4938","5640","5640","5498.688","8211.882",
"Congo, Dem. Rep.","COD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","8300","7900","8100","8900","12000","19200","18600","15800","14100","13600","11800","12200","9200","7400","7600","3900","5000","5200","4500","4800","5100","3500","3000","2600","3900","","","","","","","5200","","","","","","","","","1945","2295","4781","11448","11580","12476.7018656827","11512.356",
"Congo, Rep.","COG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3700","3700","3400","3600","3600","3800","4000","4000","4300","4400","4300","5300","5600","6100","6000","6400","6700","4400","4500","4700","4100","4800","4700","4900","4900","6300","5400","10200","10300","6000","6257","5235","4505","4783","","","","","","","3755.33363289149","4817","7011","12132","10380","11461.544","10603.8216",
"Colombia","COL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","145800","125200","115400","103300","75700","70300","69200","63500","69300","70100","65500","69400","157900","158800","133300","124100","123900","118200","118600","127000","116900","124500","147100","167200","181500","193700","195200","224800","234700","208600","199370","190465","179994","171933","153204","162095","175006","185872","187382","196298","226094","237570.829047845","254059.928996848","304365.908","349864.363","369373.632","365877.455461352",
"Comoros","COM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","1100","1200","1000","1000","1000","1000","1000","1000","1000","1000","1000","1100","1100","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","1500","1500","1500","1500","1600","2400","4800","7300","7600","8100","6100","6700","6700","6700","6700","6600","6800","6800","6800","7100","7400","14600","14800","12100","13010","8745","8735","9434","16612","19905","19862","21086","12236","11560","10363","10658.0712931195","10555.2286515647","8148","7728","7989","8745.168",
"Costa Rica","CRI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14400","14400","11600","12100","12300","11800","12000","10100","9300","9400","13800","12700","12600","11700","12400","8500","8400","9200","10800","11400","12500","13300","15100","16900","18300","26900","20800","24300","36900","32000","24297","32270","32605","31219","33517","36045","36170","37284","36786","33285","41600.5549745151","43354","40081","42831","50239","41544.16","37579.062",
"Caribbean small states","CSS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","35100","34100","35300","27400","28800","45500","60300","55300","54200","72100","76400","72600","99200","111600","113900","134100","136300","133600","133000","131800","126300","137200","134300","139300","144800","149500","137200","112900","114300","148100","138632","155940","137987","137727","100958","101132","99817","104274","104600","92285","126300","147475.438423049","171025.626310282","198637","252495","247772.693","251019.93974",
"Cuba","CUB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","15600","17900","19400","17400","15200","15800","17100","13300","17100","17500","17200","15900","18000","20300","17100","16000","18700","19400","17600","18900","19400","12000","9900","8600","12500","12800","14400","16800","19700","15700","12264","11728","9773","8998","10937","11484","11533","11874","11686","10653","21235.4502809087","18302.8583708965","15869.7722047845","23292","15468","17592.192","13824.62537",
"Curacao","CUW","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2600","3100","4000","4300","2000","3500","4700","5200","5200","5400","6200","5700","5700","5900","6200","6100","6400","6400","6600","6700","7600","8000","10300","10800","11500","10900","10600","11500","12000","12100","12551","13321","15081","16908","19073","17392","17530","19131","19399","18556","15318","12430","13296","11724","9000","306","3401",
"Czech Republic","CZE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","12500","31900","39900","38900","42200","46000","60300","46100","47000","48000","39100","29300","18700","20000","20900","21700","22200","21800","22100","24200","22300","20200","23100","24800","23500","26100","26900","28300","29500","34800","40027","44164","46574","52127","66134","75295","75439","75830","78377","78153","72137","61476","44189","54948","48975","55774.578","66166.257",
"Germany","DEU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","143100","153800","166100","151900","180300","176800","179300","181200","183500","183200","187300","186600","188500","195400","201900","214700","234100","269100","294300","310800","344200","406600","458000","459200","521000","526600","566600","645900","673300","709800","738297","762178","796129","844881","937143","1023858","1084821","1126699","1154472","1080553","971803.431596833","1021899.93850367","985668.769188173","954874","946082","975472","1016649.118",
"Djibouti","DJI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","1500","1500","2800","3100","3200","3800","3900","3200","3900","2100","3900","3900","3900","3900","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","50600","64700","69800","70700","67200","66100","67700","67600","70000","74300","69700","64000","69200","77700","62000","75400","82800","85000","84600","87500","90600","87400","91100","101900","97200","101600","107800","118600","114600","106300","109369","110492","97713","90641","99598","13253","13783","","","","","","","","","","",
"Dominican Republic","DOM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","8600","3900","3900","4200","4200","3700","10000","11300","10700","5900","5000","4300","5600","6100","6800","6800","6200","5300","6100","6000","9500","4500","4300","3900","3000","2800","1300","1400","1400","400","","","","","","","","","","","1552","2286","2303","1908","1584","1421.16","1169.614",
"Algeria","DZA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14800","17400","19300","26200","29300","31900","34400","32900","35000","34800","36500","38200","38700","40300","43400","46200","50500","48400","49400","45700","44100","45600","45900","45400","45500","47000","45100","49600","44200","36400","40202","49274","46015","44315","48531","45692","44822","44136","31026","52731","53088","53286","54292","55516","60066","65940","73465.74",
"East Asia & Pacific (excluding high income)","EAP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","305900","335000","352000","355500","364500","410900","420500","460300","478800","489500","591400","604300","637600","699800","765400","740800","804100","823400","889900","910000","1039100","1138400","1304200","1223700","1241700","1149800","1215806","1522837","1615064","1586155","2067761","2219532","2454357","2702754","2798473","3094982","3848153.59742684","4200261.07704265","4541206.00446749","4876883.3179955","5445735.69175995","5862384.88353697","6344563.2580299",
"Early-demographic dividend","EAR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","851900","785500","848000","903200","922300","1010000","1094400","1135000","1180300","1264700","1329500","1335400","1356200","1443000","1538700","1537900","1539900","1575700","1595600","1628300","1603200","1559100","1692000","1695900","1828700","1804800","1925100","1985900","1992200","2043100","2077309","2197664","2027711","2065419","2360942","2441945","2670479","2893009","2852615","2986969","3940298.16679309","4158415.08632535","4357526.48746141","4574583.4635518","4976915.63345596","5229740.73223123","5627060.32119106",
"East Asia & Pacific","EAS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","804900","823000","853800","1094900","1147700","1222500","1232000","1250500","1262800","1289200","1393400","1440800","1518900","1618700","1744300","1745100","1819300","1996000","2142700","2236200","2467300","2644000","2898700","2976700","3010400","2784900.00097656","2884999","3230312","3472124","3421353","3681701","3879996","4174539","4441653","4597611","4885072","6334923.95244873","6627354.95496903","6896897.70045843","7391410.0459955","8025736.2493602","8507464.55248283","9076104.33985775",
"Europe & Central Asia (excluding high income)","ECA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1033900","930500","866100","735500","653300","544800","616800","625406","653370","644149","686402","750084","777273","847890","913196","1019430","1031118","1207345.22735896","1355187.38610583","1443325.82022895","1588206.50323624","1721454.52","1826426.934","1863515.88885714",
"Europe & Central Asia","ECS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3665600","4699400","4752600","4875900","5087200","5391600","5502800","5933900","6236642","6291425","6044393","6113024","6481841","6313517","6616436","6941099","7106264","6941775","7011230.37227903","7377144.07392713","7300522.98255961","7299434.41223624","7478837.34464928","7763182.57828552","8056916.87857637",
"Ecuador","ECU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","28200","21100","19900","20700","19600","20800","21500","23000","24700","25600","27900","27400","27300","26500","26600","26300","27000","27600","27300","27800","27900","27900","20300","45000","43400","21800","22500","26200","26900","20200","18419","16523","15407","24801","28422","29844","31016","44842","49162","46485","60835","49193","54250.9226188785","58687","61248","61649","55991.9401349101",
"Egypt, Arab Rep.","EGY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14500","12800","15700","14800","17000","15100","16900","18600","18700","21300","25700","27600","28100","29700","29900","31500","29800","30900","33800","35200","19800","25700","34100","31300","38000","39000","41300","41600","39500","44300","47418","41373","41858","42152","42189","44730","47444","51440","57510","56414","104036.125","78726.0909090909","92303","100735.5","101725.767440561","108266.72903551","117664.842",
"Euro area","EMU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","996500","1046400","1109000","1100500","1133900","1098200","1122700","1131400","1166900","1186200","1174400","1147100","1186400","1170400","1203600","1240800","1274400","1397800","1558800","1672000","1807500","1875800","2094000","2206500","2316000","2456400","2682200","2988600","3145600","3384600","3614849","3602518","3506391","3648890","3873901","4159101","4376416","4615435","4645469","4526504","4312987.80537931","4429716.47543149","4311417.62183855","4127753.909","4154277.39764928","4279728.98828552","4449363.982",
"Eritrea","ERI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539","713.636",
"Spain","ESP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","146900","159400","167300","176400","178800","181800","184500","192700","209300","214200","207900","188700","191000","194000","184900","181700","180400","183000","207200","225500","244700","262600","289700","282200","282300","313200","332800","370400","387900","414200","485856","517481","493019","518836","549963","586438","602978","657606","616893","547971","546298.853885983","535074","471440.886886395","465558.909","486353.8","535787.699","566773.89",
"Estonia","EST","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","5700","5700","6500","5100","7800","11400","10600","9199","9133","8324","8522","7814","8350","8183","9214","11478","8592","12207.9705512659","13492","26778","13356","13524","13954.44","8600",
"Ethiopia","ETH","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","20100","20600","21400","21600","19800","16300","18600","12300","9700","8300","8100","12000","13700","14800","16000","21600","23700","24400","22900","23600","20600","20000","25000","24200","25600","26200","24800","28100","27100","24900","26624","28128","28359","27204","29546","30961","33644","37528","39804","44154","48783","57728","62136","68131","71166","83940.32","94329.728",
"European Union","EUU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1653600","1731300","1818500","1825500","1845300","1780400","1854200","1856200","1942200","1992000","1981300","1887500","1919800","1942000","2003400","2065500","2162500","2318900","2536400","2734800","2905800","2850600","3128400","3271100","3418300","3583400","3879200","4250800","4427700","4725800","5025189","5065794","4916385","5030886","5383365","5462838","5708768","5962274","6015966","5831207","5661772.82844649","5853625.68782131","5666272.36258059","5501754.909","5547395.89764928","5736630.64428552","6015021.63457637",
"Fragile and conflict affected situations","FCS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","117600","120900","123400","127400","117900","149500","163600","158900","166000","168200","187900","194400","193500","202000","233000","211300","213800","217400","233800","225300","217700","202600","189700","141600","179200","143300","147600","150600","146400","","","137350","","","","","","","","","237261.852182705","265126.706452202","242721.663904224","284856","269225.970040793","244636.791790519","239382.287024242",
"Finland","FIN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","44900","48400","51500","55100","60700","64300","62600","56400","60000","61100","70800","74100","72200","68900","68800","70300","66400","77300","84000","89800","93400","92000","93600","90300","91000","97000","103200","113300","119000","120700","145174","128881","108923","107026","109209","107108","114699","118686","114371","104740","132408.28422807","144467","138914.132653061","138987","140256","153849","162119",
"Fiji","FJI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","15500","17600","17800","17600","12800","13200","15200","21200","19200","15500","15500","15700","15800","14200","13100","23700","23600","23500","23200","27200","27000","31000","32600","33600","86900","87900","57300","57776","62768","37685","38732","36920","41886","46866","46359","46467","45595","26127","18142","16011.2858124356","11748","19140","19487","20906",
